Survey Number,WIN,Alias,Date,Year,Month,Site #,SiteName,Repetition #,Site Length (ft),Stream Width (ft),Total Pool Length (ft),Discharge (cu ft/sec),Time Fished,Fish Number,Species Code,Total Length,szClass,Weight,Wild/Stocked,Stage,Sex,Mark Applied,Mark Present,Fingerling  Efficiency (%),Yearling Efficiency (%),Older Efficiency (%),GP Remarks,NYTME,NYTMN,Species Code,Number of Fish,Min Length (mm),Max Length (mm)
417033,D-71,West Branch Delaware River,7/10/17,2017,7,02,Laurel,1,328,300,,704,0.23,49,328,32,30,,Wild,Young of year,,,,50,66,,Shocked river left bank,466174,4657864,,,,
417033,D-71,West Branch Delaware River,7/10/17,2017,7,02,Laurel,1,328,300,,704,0.23,34,328,123,120,,Wild,Yearling,,,,50,66,,Shocked river left bank,466174,4657864,,,,
417033,D-71,West Branch Delaware River,7/10/17,2017,7,02,Laurel,1,328,300,,704,0.23,44,328,32,30,,Wild,Young of year,,,,50,66,,Shocked river left bank,466174,4657864,,,,
417033,D-71,West Branch Delaware River,7/10/17,2017,7,02,Laurel,1,328,300,,704,0.23,33,328,125,120,,Wild,Yearling,,,,50,66,,Shocked river left bank,466174,4657864,,,,
417033,D-71,West Branch Delaware River,7/10/17,2017,7,02,Laurel,1,328,300,,704,0.23,28,328,111,110,,Wild,Yearling,,,,50,66,,Shocked river left bank,466174,4657864,,,,
417033,D-71,West Branch Delaware River,7/10/17,2017,7,02,Laurel,1,328,300,,704,0.23,43,328,41,40,,Wild,Young of year,,,,50,66,,Shocked river left bank,466174,4657864,,,,
417033,D-71,West Branch Delaware River,7/10/17,2017,7,02,Laurel,1,328,300,,704,0.23,36,328,130,130,,Wild,Yearling,,,,50,66,,Shocked river left bank,466174,4657864,,,,
417033,D-71,West Branch Delaware River,7/10/17,2017,7,02,Laurel,1,328,300,,704,0.23,51,328,30,30,,Wild,Young of year,,,,50,66,,Shocked river left bank,466174,4657864,,,,
417033,D-71,West Branch Delaware River,7/10/17,2017,7,02,Laurel,1,328,300,,704,0.23,42,328,37,30,,Wild,Young of year,,,,50,66,,Shocked river left bank,466174,4657864,,,,
417033,D-71,West Branch Delaware River,7/10/17,2017,7,02,Laurel,1,328,300,,704,0.23,47,328,35,30,,Wild,Young of year,,,,50,66,,Shocked river left bank,466174,4657864,,,,
417033,D-71,West Branch Delaware River,7/10/17,2017,7,02,Laurel,1,328,300,,704,0.23,41,328,33,30,,Wild,Young of year,,,,50,66,,Shocked river left bank,466174,4657864,,,,
417033,D-71,West Branch Delaware River,7/10/17,2017,7,02,Laurel,1,328,300,,704,0.23,40,328,29,20,,Wild,Young of year,,,,50,66,,Shocked river left bank,466174,4657864,,,,
417033,D-71,West Branch Delaware River,7/10/17,2017,7,02,Laurel,1,328,300,,704,0.23,31,328,143,140,,Wild,Yearling,,,,50,66,,Shocked river left bank,466174,4657864,,,,
417033,D-71,West Branch Delaware River,7/10/17,2017,7,02,Laurel,1,328,300,,704,0.23,46,328,34,30,,Wild,Young of year,,,,50,66,,Shocked river left bank,466174,4657864,,,,
417033,D-71,West Branch Delaware River,7/10/17,2017,7,02,Laurel,1,328,300,,704,0.23,52,328,32,30,,Wild,Young of year,,,,50,66,,Shocked river left bank,466174,4657864,,,,
417033,D-71,West Branch Delaware River,7/10/17,2017,7,02,Laurel,1,328,300,,704,0.23,45,328,35,30,,Wild,Young of year,,,,50,66,,Shocked river left bank,466174,4657864,,,,
417033,D-71,West Branch Delaware River,7/10/17,2017,7,02,Laurel,1,328,300,,704,0.23,32,328,154,150,,Wild,Yearling,,,,50,66,,Shocked river left bank,466174,4657864,,,,
417033,D-71,West Branch Delaware River,7/10/17,2017,7,02,Laurel,1,328,300,,704,0.23,25,328,109,100,,Wild,Yearling,,,,50,66,,Shocked river left bank,466174,4657864,,,,
417033,D-71,West Branch Delaware River,7/10/17,2017,7,02,Laurel,1,328,300,,704,0.23,26,328,95,90,,Wild,Yearling,,,,50,66,,Shocked river left bank,466174,4657864,,,,
417033,D-71,West Branch Delaware River,7/10/17,2017,7,02,Laurel,1,328,300,,704,0.23,38,328,174,170,,Wild,Yearling,,,,50,66,,Shocked river left bank,466174,4657864,,,,
417033,D-71,West Branch Delaware River,7/10/17,2017,7,02,Laurel,1,328,300,,704,0.23,29,328,117,110,,Wild,Yearling,,,,50,66,,Shocked river left bank,466174,4657864,,,,
417033,D-71,West Branch Delaware River,7/10/17,2017,7,02,Laurel,1,328,300,,704,0.23,48,328,33,30,,Wild,Young of year,,,,50,66,,Shocked river left bank,466174,4657864,,,,
417033,D-71,West Branch Delaware River,7/10/17,2017,7,02,Laurel,1,328,300,,704,0.23,35,328,121,120,,Wild,Yearling,,,,50,66,,Shocked river left bank,466174,4657864,,,,
417033,D-71,West Branch Delaware River,7/10/17,2017,7,02,Laurel,1,328,300,,704,0.23,30,328,146,140,,Wild,Yearling,,,,50,66,,Shocked river left bank,466174,4657864,,,,
417033,D-71,West Branch Delaware River,7/10/17,2017,7,02,Laurel,1,328,300,,704,0.23,27,328,146,140,,Wild,Yearling,,,,50,66,,Shocked river left bank,466174,4657864,,,,
417033,D-71,West Branch Delaware River,7/10/17,2017,7,02,Laurel,1,328,300,,704,0.23,50,328,30,30,,Wild,Young of year,,,,50,66,,Shocked river left bank,466174,4657864,,,,
417033,D-71,West Branch Delaware River,7/10/17,2017,7,02,Laurel,1,328,300,,704,0.23,39,328,142,140,,Wild,Yearling,,,,50,66,,Shocked river left bank,466174,4657864,,,,
417033,D-71,West Branch Delaware River,7/10/17,2017,7,02,Laurel,1,328,300,,704,0.23,37,328,165,160,,Wild,Yearling,,,,50,66,,Shocked river left bank,466174,4657864,,,,
417033,D-71,West Branch Delaware River,8/21/17,2017,8,02,Laurel,1,328,300,,526,0.23,215,328,50,50,,Wild,Young of year,,,,66,75,,Shocked river left bank,465174,4657864,,,,
417033,D-71,West Branch Delaware River,8/21/17,2017,8,02,Laurel,1,328,300,,526,0.23,232,328,37,30,,Wild,Young of year,,,,66,75,,Shocked river left bank,465174,4657864,,,,
417033,D-71,West Branch Delaware River,8/21/17,2017,8,02,Laurel,1,328,300,,526,0.23,206,328,147,140,,Wild,Yearling,,,,66,75,,Shocked river left bank,465174,4657864,,,,
417033,D-71,West Branch Delaware River,8/21/17,2017,8,02,Laurel,1,328,300,,526,0.23,230,328,49,40,,Wild,Young of year,,,,66,75,,Shocked river left bank,465174,4657864,,,,
417033,D-71,West Branch Delaware River,8/21/17,2017,8,02,Laurel,1,328,300,,526,0.23,217,328,44,40,,Wild,Young of year,,,,66,75,,Shocked river left bank,465174,4657864,,,,
417033,D-71,West Branch Delaware River,8/21/17,2017,8,02,Laurel,1,328,300,,526,0.23,213,328,37,30,,Wild,Young of year,,,,66,75,,Shocked river left bank,465174,4657864,,,,
417033,D-71,West Branch Delaware River,8/21/17,2017,8,02,Laurel,1,328,300,,526,0.23,212,328,120,120,,Wild,Yearling,,,,66,75,,Shocked river left bank,465174,4657864,,,,
417033,D-71,West Branch Delaware River,8/21/17,2017,8,02,Laurel,1,328,300,,526,0.23,209,328,141,140,,Wild,Yearling,,,,66,75,,Shocked river left bank,465174,4657864,,,,
417033,D-71,West Branch Delaware River,8/21/17,2017,8,02,Laurel,1,328,300,,526,0.23,221,328,52,50,,Wild,Young of year,,,,66,75,,Shocked river left bank,465174,4657864,,,,
417033,D-71,West Branch Delaware River,8/21/17,2017,8,02,Laurel,1,328,300,,526,0.23,214,328,39,30,,Wild,Young of year,,,,66,75,,Shocked river left bank,465174,4657864,,,,
417033,D-71,West Branch Delaware River,8/21/17,2017,8,02,Laurel,1,328,300,,526,0.23,210,328,122,120,,Wild,Yearling,,,,66,75,,Shocked river left bank,465174,4657864,,,,
417033,D-71,West Branch Delaware River,8/21/17,2017,8,02,Laurel,1,328,300,,526,0.23,222,328,47,40,,Wild,Young of year,,,,66,75,,Shocked river left bank,465174,4657864,,,,
417033,D-71,West Branch Delaware River,8/21/17,2017,8,02,Laurel,1,328,300,,526,0.23,208,328,123,120,,Wild,Yearling,,,,66,75,,Shocked river left bank,465174,4657864,,,,
417033,D-71,West Branch Delaware River,8/21/17,2017,8,02,Laurel,1,328,300,,526,0.23,205,328,151,150,,Wild,Yearling,,,,66,75,,Shocked river left bank,465174,4657864,,,,
417033,D-71,West Branch Delaware River,8/21/17,2017,8,02,Laurel,1,328,300,,526,0.23,224,328,49,40,,Wild,Young of year,,,,66,75,,Shocked river left bank,465174,4657864,,,,
417033,D-71,West Branch Delaware River,8/21/17,2017,8,02,Laurel,1,328,300,,526,0.23,218,328,44,40,,Wild,Young of year,,,,66,75,,Shocked river left bank,465174,4657864,,,,
417033,D-71,West Branch Delaware River,8/21/17,2017,8,02,Laurel,1,328,300,,526,0.23,225,328,47,40,,Wild,Young of year,,,,66,75,,Shocked river left bank,465174,4657864,,,,
417033,D-71,West Branch Delaware River,8/21/17,2017,8,02,Laurel,1,328,300,,526,0.23,211,328,125,120,,Wild,Yearling,,,,66,75,,Shocked river left bank,465174,4657864,,,,
417033,D-71,West Branch Delaware River,8/21/17,2017,8,02,Laurel,1,328,300,,526,0.23,216,328,55,50,,Wild,Young of year,,,,66,75,,Shocked river left bank,465174,4657864,,,,
417033,D-71,West Branch Delaware River,8/21/17,2017,8,02,Laurel,1,328,300,,526,0.23,226,328,47,40,,Wild,Young of year,,,,66,75,,Shocked river left bank,465174,4657864,,,,
417033,D-71,West Branch Delaware River,8/21/17,2017,8,02,Laurel,1,328,300,,526,0.23,228,328,51,50,,Wild,Young of year,,,,66,75,,Shocked river left bank,465174,4657864,,,,
417033,D-71,West Branch Delaware River,8/21/17,2017,8,02,Laurel,1,328,300,,526,0.23,207,328,151,150,,Wild,Yearling,,,,66,75,,Shocked river left bank,465174,4657864,,,,
417033,D-71,West Branch Delaware River,8/21/17,2017,8,02,Laurel,1,328,300,,526,0.23,229,328,34,30,,Wild,Young of year,,,,66,75,,Shocked river left bank,465174,4657864,,,,
417033,D-71,West Branch Delaware River,8/21/17,2017,8,02,Laurel,1,328,300,,526,0.23,231,328,36,30,,Wild,Young of year,,,,66,75,,Shocked river left bank,465174,4657864,,,,
417033,D-71,West Branch Delaware River,8/21/17,2017,8,02,Laurel,1,328,300,,526,0.23,219,328,42,40,,Wild,Young of year,,,,66,75,,Shocked river left bank,465174,4657864,,,,
417033,D-71,West Branch Delaware River,8/21/17,2017,8,02,Laurel,1,328,300,,526,0.23,223,328,52,50,,Wild,Young of year,,,,66,75,,Shocked river left bank,465174,4657864,,,,
417033,D-71,West Branch Delaware River,8/21/17,2017,8,02,Laurel,1,328,300,,526,0.23,227,328,45,40,,Wild,Young of year,,,,66,75,,Shocked river left bank,465174,4657864,,,,
417033,D-71,West Branch Delaware River,8/21/17,2017,8,02,Laurel,1,328,300,,526,0.23,204,328,165,160,,Wild,Yearling,,,,66,75,,Shocked river left bank,465174,4657864,,,,
417033,D-71,West Branch Delaware River,8/21/17,2017,8,02,Laurel,1,328,300,,526,0.23,220,328,45,40,,Wild,Young of year,,,,66,75,,Shocked river left bank,465174,4657864,,,,
417033,D-71,West Branch Delaware River,9/25/17,2017,9,02,Laurel,1,328,300,,1030,0.18,343,328,56,50,,Wild,Young of year,,,,66,50,,Shocked river left bank,466174,4657864,,,,
417033,D-71,West Branch Delaware River,9/25/17,2017,9,02,Laurel,1,328,300,,1030,0.18,359,328,134,130,,Wild,Yearling,,,,66,50,,Shocked river left bank,466174,4657864,,,,
417033,D-71,West Branch Delaware River,9/25/17,2017,9,02,Laurel,1,328,300,,1030,0.18,342,328,58,50,,Wild,Young of year,,,,66,50,,Shocked river left bank,466174,4657864,,,,
417033,D-71,West Branch Delaware River,9/25/17,2017,9,02,Laurel,1,328,300,,1030,0.18,340,328,57,50,,Wild,Young of year,,,,66,50,,Shocked river left bank,466174,4657864,,,,
417033,D-71,West Branch Delaware River,9/25/17,2017,9,02,Laurel,1,328,300,,1030,0.18,336,328,60,60,,Wild,Young of year,,,,66,50,,Shocked river left bank,466174,4657864,,,,
417033,D-71,West Branch Delaware River,9/25/17,2017,9,02,Laurel,1,328,300,,1030,0.18,339,328,48,40,,Wild,Young of year,,,,66,50,,Shocked river left bank,466174,4657864,,,,
417033,D-71,West Branch Delaware River,9/25/17,2017,9,02,Laurel,1,328,300,,1030,0.18,351,328,63,60,,Wild,Young of year,,,,66,50,,Shocked river left bank,466174,4657864,,,,
