ID,Source,RecordID,TSN,S_Rank_Assigned_2014,Phylo_Code,Common_Name,Family,Genus,Species,HU_12_NAME,County,Basin,N_Detected,N_vouchered,N_released,CoarseAbundance,Date,Lat,Long,Locality,DB_Record_ID,Review_Status,Review_Comments,Collector,ID_by,Field_Collection_Number,Museum_Number,Gear,Survey_Comments,TSN_1,ER_Status,SCP_UserProjectID,SCP_PermitNumber,HUC_8,SCP_PermitType,SCP_siteID,HUC_12,Date_Range_Category
19107,ArgentHistoric_JEMReviewed,19107,168394,S5,135a-06,Fantail Darter,Percidae,Etheostoma,flabellare,Shenango River-Lackawannock Creek,mercer,Ohio,4,,,,10/27/1933,41.29865664,-80.33017172,"New Castle, Big Run Cotton Farm",,,,EC Raney,,ECR 33-Cornell,,"""""",ArgentDB - 24084; Cornell - ECR 33,,,,,5030102,,,50301020403,1
19099,ArgentHistoric_JEMReviewed,19099,168394,S5,135a-06,Fantail Darter,Percidae,Etheostoma,flabellare,Shenango River-Lackawannock Creek,mercer,Ohio,7,,,,4/28/1934,41.3162577,-80.35598917,Shenango R. near Delaware Grove,,,,EC Raney,,ECR 34APR28-Cornell,,"""""",ArgentDB - 24102; Cornell - ECR 34APR28,,,,,5030102,,,50301020403,1
19119,ArgentHistoric_JEMReviewed,19119,168394,S5,135a-06,Fantail Darter,Percidae,Etheostoma,flabellare,Big Run,lawrence,Ohio,1,,,,5/5/1934,40.9890411,-80.26275735,"Big Run, Gibson Dale, Newcastle",,,,J Fleck & EC Raney,,JF 34MAY05-Cornell,,"""""",ArgentDB - 24822; Cornell - JF 34MAY05,,,,,5030102,,,50301020605,1
19134,ArgentHistoric_JEMReviewed,19134,168394,S5,135a-06,Fantail Darter,Percidae,Etheostoma,flabellare,Big Sewickley Creek,beaver,Ohio,3,,,,6/16/1934,40.58096919,-80.2193622,Sewickley Cr. at Ambridge,,,,EC Raney & EA Lachner,,ECR 34JUN16-Cornell,,"""""",ArgentDB - 24137; Cornell - ECR 34JUN16,,,,,5030101,,,50301010308,1
19051,ArgentHistoric_JEMReviewed,19051,168394,S5,135a-06,Fantail Darter,Percidae,Etheostoma,flabellare,Mill CreeK,beaver,Ohio,1,,,,6/18/1934,40.62601385,-80.51195323,"Georgetown, Mill Creek",,,,"EC Raney, EA Lachner",,ECR 34JUN18-Cornell,,"""""",ArgentDB - 24148; Cornell - ECR 34JUN18,,,,,5030101,,,50301011101,1
19113,ArgentHistoric_JEMReviewed,19113,168394,S5,135a-06,Fantail Darter,Percidae,Etheostoma,flabellare,Racoon Creek,beaver,Ohio,3,,,,9/10/1934,40.60498022,-80.31200155,Service Cr. at Aliquippa,,,,DE Sollberger,,DES 34-Cornell,,"""""",ArgentDB - 23265; Cornell - DES 34,,,,,5030101,,,50301010207,1
19168,ArgentHistoric_JEMReviewed,19168,168394,S5,135a-06,Fantail Darter,Percidae,Etheostoma,flabellare,Wolf Creek,butler,Ohio,1,,,,2/16/1935,41.07012777,-80.08835369,Wolf Cr. near Slippery Rock,,,,EC Raney,,ECR 35FEB16-Cornell,,"""""",ArgentDB - 24198; Cornell - ECR 35FEB16,,,,,5030105,,,50301050203,1
19126,ArgentHistoric_JEMReviewed,19126,168394,S5,135a-06,Fantail Darter,Percidae,Etheostoma,flabellare,Neshannock Creek-Little Neshannock Creek,mercer,Ohio,2,,,,4/6/1935,41.20756289,-80.24018424,Shenango R. near Delaware Grove,,,,EA Lachner,,EAL 35-Cornell,,"""""",ArgentDB - 23413; Cornell - EAL 35,,,,,5030102,,,50301020504,1
19109,ArgentHistoric_JEMReviewed,19109,168394,S5,135a-06,Fantail Darter,Percidae,Etheostoma,flabellare,Big Run,lawrence,Ohio,9,,,,4/11/1935,40.97233888,-80.32959261,"Big Run, below Cascade Park Lake at New Castle",,,,J Fleck,,JF 35APR11-Cornell,,"""""",ArgentDB - 24604; Cornell - JF 35APR11,,,,,5030102,,,50301020605,1
19103,ArgentHistoric_JEMReviewed,19103,168394,S5,135a-06,Fantail Darter,Percidae,Etheostoma,flabellare,Big Run,lawrence,Ohio,4,,,,4/22/1935,40.9685995,-80.33591506,"Big Run, below Cascade Park Lake",,,,J Fleck,,JF 35APR22-Cornell,,"""""",ArgentDB - 24815; Cornell - JF 35APR22,,,,,5030102,,,50301020605,1
19440,ArgentHistoric_JEMReviewed,19440,168394,S5,135a-06,Fantail Darter,Percidae,Etheostoma,flabellare,Marvin Creek,mckean,Allegheny,4,,,,6/8/1935,41.78408932,-78.51189468,"Marvin Cr., 3 mi. SE of Smethport, trib. of Potato Cr.",,,,EC Raney,,ECR 35JUN08-Cornell,,"""""",ArgentDB - 24216; Cornell - ECR 35JUN08,,,,,5010001,,,50100010103,1
19183,ArgentHistoric_JEMReviewed,19183,168394,S5,135a-06,Fantail Darter,Percidae,Etheostoma,flabellare,French Creek,crawford,Allegheny,2,,,,8/26/1935,41.50792884,-80.06345491,"French Cr. at Cochranton, riffle below bridge",,,,"EC Raney, EA Lachner, W Raney",,ECR 35G26-Cornell,,"""""",ArgentDB - 24194; Cornell - ECR 35G26,,,,,5010004,,,50100040906,1
19132,ArgentHistoric_JEMReviewed,19132,168394,S5,135a-06,Fantail Darter,Percidae,Etheostoma,flabellare,Conneaut Outlet-Williams Run,crawford,Allegheny,3,,,,6/6/1938,41.58739901,-80.23176694,"Watson Run, trib. of Conneaut Lake Outlet, 5 mi. E of Conneaut",,,,"EC Raney, EA Lachner, K Shelar",,ECR 0393-Cornell,,10 ft seine,ArgentDB - 23487; Cornell - ECR 0393,,,,,5010004,,,50100040702,1
