WATERABB,WATER,YEAR,LENGTH,AGE,WATERMAIN
PYME,Pymatuning Reservoir,2013,290,3,Pymatuning Reservoir
PYME,Pymatuning Reservoir,2013,293,5,Pymatuning Reservoir
PYME,Pymatuning Reservoir,2013,296,5,Pymatuning Reservoir
PYME,Pymatuning Reservoir,2013,301,5,Pymatuning Reservoir
PYME,Pymatuning Reservoir,2013,302,5,Pymatuning Reservoir
PYME,Pymatuning Reservoir,2013,322,5,Pymatuning Reservoir
PYME,Pymatuning Reservoir,2013,340,5,Pymatuning Reservoir
PYME,Pymatuning Reservoir,2013,344,5,Pymatuning Reservoir
PYME,Pymatuning Reservoir,2013,265,6,Pymatuning Reservoir
PYME,Pymatuning Reservoir,2013,271,6,Pymatuning Reservoir
PYME,Pymatuning Reservoir,2013,288,6,Pymatuning Reservoir
PYME,Pymatuning Reservoir,2013,297,6,Pymatuning Reservoir
PYME,Pymatuning Reservoir,2013,302,6,Pymatuning Reservoir
PYME,Pymatuning Reservoir,2013,306,6,Pymatuning Reservoir
PYME,Pymatuning Reservoir,2013,310,6,Pymatuning Reservoir
PYME,Pymatuning Reservoir,2013,316,6,Pymatuning Reservoir
PYME,Pymatuning Reservoir,2013,326,6,Pymatuning Reservoir
PYME,Pymatuning Reservoir,2013,335,6,Pymatuning Reservoir
PYME,Pymatuning Reservoir,2013,351,6,Pymatuning Reservoir
PYME,Pymatuning Reservoir,2013,353,6,Pymatuning Reservoir
PYME,Pymatuning Reservoir,2013,358,6,Pymatuning Reservoir
PYME,Pymatuning Reservoir,2013,388,6,Pymatuning Reservoir
PYME,Pymatuning Reservoir,2013,401,6,Pymatuning Reservoir
PYME,Pymatuning Reservoir,2013,382,7,Pymatuning Reservoir
PYME,Pymatuning Reservoir,2013,390,7,Pymatuning Reservoir
PYME,Pymatuning Reservoir,2013,426,7,Pymatuning Reservoir
PYME,Pymatuning Reservoir,2013,438,7,Pymatuning Reservoir
PYME,Pymatuning Reservoir,2013,513,7,Pymatuning Reservoir
PYME,Pymatuning Reservoir,2013,337,8,Pymatuning Reservoir
PYME,Pymatuning Reservoir,2013,363,8,Pymatuning Reservoir
PYME,Pymatuning Reservoir,2013,371,8,Pymatuning Reservoir
PYME,Pymatuning Reservoir,2013,377,8,Pymatuning Reservoir
PYME,Pymatuning Reservoir,2013,383,8,Pymatuning Reservoir
PYME,Pymatuning Reservoir,2013,387,8,Pymatuning Reservoir
